profile,module,result_source,scenario_id,category,subclass,success,completion_step,evidence_type,evidence_path,source_config,log_candidates
full,full,baseline,M2_07,M,M2,True,2,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M2_07/run_M2_07.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M2_07.json,2
full,full,baseline,M2_08,M,M2,True,1,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M2_08/run_M2_08.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M2_08.json,2
full,full,baseline,M2_09,M,M2,True,6,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M2_09/run_M2_09.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M2_09.json,2
full,full,baseline,M2_10,M,M2,True,1,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M2_10/run_M2_10.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M2_10.json,2
full,full,baseline,M3_11,M,M3,True,15,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M3_11/run_M3_11.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M3_11.json,2
full,full,baseline,M3_12,M,M3,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_M3_12.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M3_12.json,1
full,full,baseline,M3_13,M,M3,True,10,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M3_13/run_M3_13.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M3_13.json,2
full,full,baseline,M3_14,M,M3,True,10,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M3_14/run_M3_14.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M3_14.json,2
full,full,baseline,M3_15,M,M3,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_M3_15.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M3_15.json,1
full,full,baseline,M4_16,M,M4,True,6,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M4_16/run_M4_16.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M4_16.json,1
